id,title,source_section,requirement,status,test_evidence,implementation
P-001,首页,3.2 前台页面清单,P-001 | 首页 | / | 所有人 | 品牌、主推产品、场景内容、经销商与品牌信任入口；另见：P-001 | 首页 | 前台 | 必须 | 响应式、SEO、埋点,部分实现,docs/阶段一验证.md（含未覆盖范围）,首页 SSR、可编辑文字与公开商品集合；真实素材、完整模块和埋点待实现
P-010,产品总览,3.2 前台页面清单,P-010 | 产品总览 | /products | 所有人 | 分类、筛选、排序、分页；另见：P-010 | 产品总览 | 前台 | 必须 | 响应式、SEO、埋点,部分实现,docs/阶段一验证.md（含未覆盖范围）,目录搜索、类别/年龄/空间筛选、两种排序与分页；完整属性待实现
P-011,产品分类,3.2 前台页面清单,P-011 | 产品分类 | /products/{category} | 所有人 | 分类 SEO 落地页；另见：P-011 | 产品分类 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-012,产品详情,3.2 前台页面清单,P-012 | 产品详情 | /products/{slug} | 所有人 | 完整产品信息与转化；另见：P-012 | 产品详情 | 前台 | 必须 | 响应式、SEO、埋点,部分实现,docs/阶段一验证.md（含未覆盖范围）,单图详情、基础信息、规格与联系入口；完整模板待实现
P-013,产品比较,3.2 前台页面清单,P-013 | 产品比较 | /compare | 所有人 | 2-4 个产品规格比较；另见：P-013 | 产品比较 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-014,新品,3.2 前台页面清单,P-014 | 新品 | /new | 所有人 | 新品集合页；另见：P-014 | 新品 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-020,内容列表,3.2 前台页面清单,P-020 | 内容列表 | /play | 所有人 | 文章、玩法、家庭活动；另见：P-020 | 内容列表 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-021,内容详情,3.2 前台页面清单,P-021 | 内容详情 | /play/{slug} | 所有人 | 富文本内容、产品关联；另见：P-021 | 内容详情 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-030,经销商地图,3.2 前台页面清单,P-030 | 经销商地图 | /dealers | 所有人 | 按地区查找经销商；另见：P-030 | 经销商地图 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-031,经销商申请,3.2 前台页面清单,P-031 | 经销商申请 | /dealers/apply | 所有人 | 企业申请表；另见：P-031 | 经销商申请 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-032,经销商登录,3.2 前台页面清单,P-032 | 经销商登录 | /dealer/login | 经销商 | 经销商专属登录；另见：P-032 | 经销商登录 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-040,支持中心,3.2 前台页面清单,P-040 | 支持中心 | /support | 所有人 | FAQ、资料、联系入口；另见：P-040 | 支持中心 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-041,下载中心,3.2 前台页面清单,P-041 | 下载中心 | /support/downloads | 所有人 | 说明书、目录、证书等；另见：P-041 | 下载中心 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-042,FAQ,3.2 前台页面清单,P-042 | FAQ | /support/faq | 所有人 | 分类问答；另见：P-042 | FAQ | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-043,联系我们,3.2 前台页面清单,P-043 | 联系我们 | /contact | 所有人 | 表单与公司联系信息；另见：P-043 | 联系我们 | 前台 | 必须 | 响应式、SEO、埋点,部分实现,docs/阶段一验证.md（含未覆盖范围）,联系表单落库与反馈；真实联系资料和邮件待补
